"","X","sample_year","haul_date","cruise_id","event_code","station_id","gear","gear_performance","tow_type","nbs_strata","master_station_name","oceanographic_domain","large_marine_ecosystem","region","eq_latitude","eq_longitude","event.notes","species_tsn","common_name","scientific_name","lhs_code","salmon_maturity","sex","length","length_type","weight","scale_card_number","scale_card_position","otolith_number","stomach_flag","genetic_number","genetic_flag","notes","fish_number","scale_position_pref_code","gonad_weight","caloric_number","isotope_number","stomach_number","barcode","fat_meter"
"11",11,2003,"2003-09-02","SS0301",3,20030101036,"CAN","S","S",0,"57-166",2,"Bering Sea","SEBS",56.9995,-166.0325,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",103,"TL",9,NA,NA,NA,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"12",12,2003,"2003-09-02","SS0301",3,20030101036,"CAN","S","S",0,"57-166",2,"Bering Sea","SEBS",56.9995,-166.0325,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",100,"TL",12,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"13",13,2003,"2003-09-02","SS0301",3,20030101036,"CAN","S","S",0,"57-166",2,"Bering Sea","SEBS",56.9995,-166.0325,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",108,"TL",11,NA,NA,NA,0,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"14",14,2003,"2003-09-02","SS0301",3,20030101036,"CAN","S","S",0,"57-166",2,"Bering Sea","SEBS",56.9995,-166.0325,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",127,"TL",17,NA,NA,NA,0,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"15",15,2003,"2003-09-02","SS0301",3,20030101036,"CAN","S","S",0,"57-166",2,"Bering Sea","SEBS",56.9995,-166.0325,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",115,"TL",12,NA,NA,NA,0,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
"16",16,2003,"2003-09-02","SS0301",3,20030101036,"CAN","S","S",0,"57-166",2,"Bering Sea","SEBS",56.9995,-166.0325,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",120,"TL",15,NA,NA,NA,0,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"17",17,2003,"2003-09-02","SS0301",3,20030101036,"CAN","S","S",0,"57-166",2,"Bering Sea","SEBS",56.9995,-166.0325,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",114,"TL",12,NA,NA,NA,0,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"18",18,2003,"2003-09-02","SS0301",3,20030101036,"CAN","S","S",0,"57-166",2,"Bering Sea","SEBS",56.9995,-166.0325,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",80,"TL",3,NA,NA,NA,0,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
"19",19,2003,"2003-09-02","SS0301",3,20030101036,"CAN","S","S",0,"57-166",2,"Bering Sea","SEBS",56.9995,-166.0325,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",91,"TL",6,NA,NA,NA,0,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
"20",20,2003,"2003-09-02","SS0301",3,20030101036,"CAN","S","S",0,"57-166",2,"Bering Sea","SEBS",56.9995,-166.0325,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",120,"TL",15,NA,NA,NA,0,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA
"21",21,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",56,"TL",1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"22",22,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",120,"TL",15,NA,NA,NA,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"23",23,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",78,"TL",4,NA,NA,NA,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"24",24,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",84,"TL",5,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"25",25,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",85,"TL",6,NA,NA,NA,0,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"26",26,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",95,"TL",7,NA,NA,NA,0,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"27",27,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",94,"TL",8,NA,NA,NA,0,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
"28",28,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",85,"TL",6,NA,NA,NA,0,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"29",29,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",93,"TL",8,NA,NA,NA,0,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"30",30,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",84,"TL",5,NA,NA,NA,0,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
"31",31,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",75,"TL",3,NA,NA,NA,0,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
"32",32,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",83,"TL",5,NA,NA,NA,0,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA
"33",33,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",96,"TL",7,NA,NA,NA,0,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA
"34",34,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",73,"TL",2,NA,NA,NA,0,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
"35",35,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",75,"TL",3,NA,NA,NA,0,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
"36",36,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",76,"TL",3,NA,NA,NA,0,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
"37",37,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",77,"TL",3,NA,NA,NA,0,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA
"38",38,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",113,"TL",11,NA,NA,NA,0,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA
"39",39,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",86,"TL",5,NA,NA,NA,0,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA
"40",40,2003,"2003-09-04","SS0301",3,20030101046,"CAN","S","S",0,"55.75-165",2,"Bering Sea","SEBS",55.737,-164.9998,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",66,"TL",2,NA,NA,NA,0,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
"41",41,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",65,"TL",NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"42",42,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",65,"TL",NA,NA,NA,NA,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"43",43,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",65,"TL",NA,NA,NA,NA,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"44",44,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",65,"TL",NA,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"45",45,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"46",46,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"47",47,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
"48",48,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"49",49,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"50",50,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
"51",51,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
"52",52,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA
"53",53,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA
"54",54,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
"55",55,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
"56",56,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
"57",57,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA
"58",58,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA
"59",59,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA
"60",60,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
"61",61,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA
"62",62,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
"63",63,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
"64",64,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
"65",65,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
"66",66,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA
"67",67,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",80,"TL",NA,NA,NA,NA,0,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA
"68",68,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",80,"TL",NA,NA,NA,NA,0,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA
"69",69,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",80,"TL",NA,NA,NA,NA,0,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
"70",70,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",80,"TL",NA,NA,NA,NA,0,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA
"71",71,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",80,"TL",NA,NA,NA,NA,0,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA
"72",72,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",80,"TL",NA,NA,NA,NA,0,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA
"73",73,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",80,"TL",NA,NA,NA,NA,0,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA
"74",74,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",80,"TL",NA,NA,NA,NA,0,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA
"75",75,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",80,"TL",NA,NA,NA,NA,0,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA
"76",76,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",80,"TL",NA,NA,NA,NA,0,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA
"77",77,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",80,"TL",NA,NA,NA,NA,0,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA
"78",78,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",80,"TL",NA,NA,NA,NA,0,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA
"79",79,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",85,"TL",NA,NA,NA,NA,0,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA
"80",80,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",85,"TL",NA,NA,NA,NA,0,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA
"81",81,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",85,"TL",NA,NA,NA,NA,0,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA
"82",82,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",85,"TL",NA,NA,NA,NA,0,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA
"83",83,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",85,"TL",NA,NA,NA,NA,0,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA
"84",84,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",85,"TL",NA,NA,NA,NA,0,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
"85",85,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",85,"TL",NA,NA,NA,NA,0,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA
"86",86,2003,"2003-09-05","SS0301",3,20030101047,"CAN","S","S",0,"56-165",2,"Bering Sea","SEBS",55.9815,-164.9918,NA,164711,"Pacific Cod","Gadus macrocephalus","A0",NA,"U",90,"TL",NA,NA,NA,NA,0,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA
